batch_window_ms,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,max_frame_rate_per_s,proxy_downstream_frames_out,proxy_downstream_bytes_out,max_bandwidth_bytes_per_s,stale_fraction,run_dir
50,46.189,45.0,64.0,79.0,4,15,14751,4736,0.0,experiments\logs\intel-v2-batch-window-20260403\v2-qos0-clean-bw50ms
100,72.326,81.0,110.45,132.0,3,11,14071,4567,0.0,experiments\logs\intel-v2-batch-window-20260403\v2-qos0-clean-bw100ms
250,174.606,172.0,276.0,277.0,1,5,13051,4228,0.0,experiments\logs\intel-v2-batch-window-20260403\v2-qos0-clean-bw250ms
500,419.121,413.0,525.45,527.0,1,5,13051,4228,0.0,experiments\logs\intel-v2-batch-window-20260403\v2-qos0-clean-bw500ms
1000,902.222,902.0,1015.0,1026.0,1,6,17637,4586,0.155556,experiments\logs\intel-v2-batch-window-20260403\v2-qos0-clean-bw1000ms
