run_id,variant,scenario,mqtt_qos,matching_mode,missing_update_count_exact,proxy_frame_alignment_mode,browser_event_count,gateway_update_count,proxy_sent_frame_count,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,freshness_stddev_ms,stale_fraction,late_threshold_ms,late_count,missing_update_count,missing_updates_outage_drop_count,missing_updates_non_outage_drop_count,missing_updates_delivered_frame_count,missing_updates_unclassified_count,missing_sensor_count,gateway_mqtt_in_msgs,duplicates_dropped,compacted_dropped,value_dedup_dropped,freshness_ttl_ms,effective_batch_window_ms,stale_sensor_count,proxy_dropped_frames,proxy_downstream_frames_out,proxy_downstream_bytes_out,max_bandwidth_bytes_per_s,max_frame_rate_per_s,proxy_frame_rate_stddev_per_s,max_update_rate_per_s,dashboard_stale_count,dashboard_message_count,dashboard_frame_count,proxy_inter_frame_gap_sample_count,proxy_inter_frame_gap_mean_ms,proxy_inter_frame_gap_p50_ms,proxy_inter_frame_gap_p95_ms,proxy_inter_frame_gap_p99_ms,proxy_inter_frame_gap_stddev_ms,proxy_frame_alignment_note,run_dir,summary_path,condition_id,trial_id,trial_index,impairment_seed,schema_version,batch_window_ms,adaptive_min_batch_window_ms,adaptive_max_batch_window_ms,adaptive_step_up_ms,adaptive_step_down_ms,adaptive_queue_high_watermark,adaptive_queue_low_watermark,adaptive_send_slow_ms,adaptive_recovery_streak
v0-qos0-loss_2pct-trial-02-seed-53702,v0,loss_2pct,0,exact_sensor_metric_msg_ts,True,unavailable,129,180,129,49.953,35.0,126.4,163.48,41.852,0.0,1000,0,51,0,0,0,51,15,180,0,0,0,1000,250,100,3,129,11791,3827,42,9.086,42,78,129,129,128,188.852,1.0,59.3,5872.99,1017.778,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-loss_2pct\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-loss_2pct\trial-02-seed-53702\summary.json,v0-qos0-loss_2pct,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos0-loss_2pct-trial-03-seed-53703,v0,loss_2pct,0,exact_sensor_metric_msg_ts,True,unavailable,128,180,128,42.211,37.5,111.3,124.19,33.047,0.0,1000,0,52,0,0,0,52,14,180,0,0,0,1000,250,100,4,128,11692,3824,42,9.415,42,79,128,128,127,190.346,1.0,59.0,5875.36,1022.124,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-loss_2pct\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-loss_2pct\trial-03-seed-53703\summary.json,v0-qos0-loss_2pct,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos0-outage_5s-trial-01-seed-53701,v0,outage_5s,0,exact_sensor_metric_msg_ts,True,unavailable,116,180,116,43.509,35.5,117.5,129.85,35.565,0.0,1000,0,64,0,0,0,64,15,180,0,0,0,1000,250,100,16,116,10605,4014,44,9.11,44,80,116,116,115,210.235,1.0,58.0,5874.0,1330.755,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-outage_5s\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-outage_5s\trial-01-seed-53701\summary.json,v0-qos0-outage_5s,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos0-outage_5s-trial-02-seed-53702,v0,outage_5s,0,exact_sensor_metric_msg_ts,True,unavailable,116,180,116,48.293,30.5,125.0,139.25,42.254,0.0,1000,0,64,0,0,0,64,15,180,0,0,0,1000,250,100,16,116,10605,4014,44,9.11,44,80,116,116,115,210.235,1.0,55.6,5873.88,1331.23,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-outage_5s\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-outage_5s\trial-02-seed-53702\summary.json,v0-qos0-outage_5s,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos0-outage_5s-trial-03-seed-53703,v0,outage_5s,0,exact_sensor_metric_msg_ts,True,unavailable,116,180,116,42.914,32.0,117.0,129.1,35.448,0.0,1000,0,64,0,0,0,64,15,180,0,0,0,1000,250,100,16,116,10605,4014,44,9.11,44,80,116,116,115,210.209,1.0,56.6,5870.6,1331.158,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-outage_5s\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos0-outage_5s\trial-03-seed-53703\summary.json,v0-qos0-outage_5s,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos1-bandwidth_200kbps-trial-01-seed-53701,v0,bandwidth_200kbps,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,43.311,36.0,122.9,135.14,40.649,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.557,1.0,59.5,5867.9,1006.177,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-bandwidth_200kbps\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-bandwidth_200kbps\trial-01-seed-53701\summary.json,v0-qos1-bandwidth_200kbps,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos1-bandwidth_200kbps-trial-02-seed-53702,v0,bandwidth_200kbps,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,39.197,35.0,104.35,125.14,31.642,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.542,1.0,61.0,5866.2,1006.09,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-bandwidth_200kbps\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-bandwidth_200kbps\trial-02-seed-53702\summary.json,v0-qos1-bandwidth_200kbps,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
v0-qos1-bandwidth_200kbps-trial-03-seed-53703,v0,bandwidth_200kbps,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,44.038,32.5,113.0,139.45,36.342,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.481,1.0,58.5,5871.3,1006.711,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-bandwidth_200kbps\trial-03-seed-53703,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-bandwidth_200kbps\trial-03-seed-53703\summary.json,v0-qos1-bandwidth_200kbps,trial-03-seed-53703,3,53703,2,,10,1000,100,50,25,5,40,3
v0-qos1-clean-trial-01-seed-53701,v0,clean,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,48.288,38.5,124.6,143.07,36.698,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.58,1.0,60.5,5868.5,1006.129,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-clean\trial-01-seed-53701,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-clean\trial-01-seed-53701\summary.json,v0-qos1-clean,trial-01-seed-53701,1,53701,2,,10,1000,100,50,25,5,40,3
v0-qos1-clean-trial-02-seed-53702,v0,clean,1,exact_sensor_metric_msg_ts,True,unavailable,132,180,132,47.833,39.0,129.8,143.07,37.811,0.0,1000,0,48,0,0,0,48,12,180,0,0,0,1000,250,100,0,132,12069,4014,44,9.666,44,80,132,132,131,184.58,1.0,59.5,5869.3,1005.903,proxy/gateway frame counts do not match; missing-update cause attribution was skipped,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-clean\trial-02-seed-53702,experiments\logs\final-intel-primary-replicated-20260408-135251\v0-qos1-clean\trial-02-seed-53702\summary.json,v0-qos1-clean,trial-02-seed-53702,2,53702,2,,10,1000,100,50,25,5,40,3
