scenario,v2_latency_p95_ms,v3_latency_p95_ms,latency_p95_delta_ms,v2_stale_fraction,v3_stale_fraction,stale_fraction_delta,v2_max_update_rate_per_s,v3_max_update_rate_per_s,update_rate_delta_pct,v2_proxy_downstream_frames_out,v3_proxy_downstream_frames_out,downstream_frames_delta_pct,v2_proxy_downstream_bytes_out,v3_proxy_downstream_bytes_out,downstream_bytes_delta_pct,v2_min_effective_batch_window_ms,v2_max_effective_batch_window_ms,v3_min_effective_batch_window_ms,v3_max_effective_batch_window_ms,v3_adaptive_window_increase_events,v3_adaptive_window_decrease_events,v3_last_adaptation_reason,v2_run_dir,v3_run_dir
bandwidth_200kbps,279.0,270.45,-8.55,0.0,0.0,0.0,44,44,0.0%,5,5,0.0%,13051,13051,0.0%,250,250,250,250,0,0,healthy_streak=1,experiments\logs\intel-v2-v3-adaptive-20260404\v2-qos0-bandwidth_200kbps,experiments\logs\intel-v2-v3-adaptive-20260404\v3-qos0-bandwidth_200kbps
loss_2pct,259.0,266.45,7.45,0.0,0.0,0.0,44,44,0.0%,5,5,0.0%,13051,13051,0.0%,250,250,250,250,0,0,healthy_streak=1,experiments\logs\intel-v2-v3-adaptive-20260404\v2-qos0-loss_2pct,experiments\logs\intel-v2-v3-adaptive-20260404\v3-qos0-loss_2pct
